ID,Title,Location,Salary,Summary
https://indeed.com/viewjob?k=0a9542edd64e8b79,"Teachers for English reading, writing, Negotiation Skills, P...",Chicago North Shore Chinese Center Remote,$35 - $70 an hour,"Education: Bachelor’s degree in corresponding subjects or education. Must be authorized to work in the United States. Job Types: Part-time, Contract."
https://indeed.com/viewjob?k=49d37aedd65d8741,Information Technology Assistant,"Mass Virtual, Inc. Orlando, FL 32826",,The ideal candidate will actively contribute to meaningful projects and work closely with the IT Director. This role requires the candidate to be a U.S. citizen…
https://indeed.com/viewjob?k=9dfd34b97abe766a,39878,Zachary Piper Solutions LLC 4.0 Remote,,"Responsible for building end - to - ETL processes for a variety of semi -structured, structured, and unstructured data sources using a range of tools such as…"
https://indeed.com/viewjob?k=84a541c104b5b24c,Python Developer Intern,"OXO Solutions Ruby, SC","$4,000 a week",We are looking for a Python Web Developer responsible for managing the interchange of data between the server and the users.
https://indeed.com/viewjob?k=e169a07d77052dd9,Python/Django Developer,Emory Technologies Inc - Hiring for Client Remote,$55 - $60 an hour,"We are seeking senior-level developers who are familiar with the git flow development process, javascript, and python. Job Types: Full-time, Contract."
https://indeed.com/viewjob?k=333ef68a7646bcd9,Auction Listings Coordinator,"B-Stock Solutions 3.0 Orlando, FL 32803 (Colonial Town Center area) • Temporarily remote",,We are seeking an Auction Listings Technician who will work with our clients to create and/or review auctions for sale on our platform.
https://indeed.com/viewjob?k=e29b73c914215dee,Junior Full Stack Developers,"GCR Inc. Orlando, FL 32826",,"Design, develop, test, deploy, maintain and improve the software. Manage individual project priorities, deadlines and deliverables."
https://indeed.com/viewjob?k=1534083f45439429,Customer Support Representative,CodeCombat Remote,,"If you have experience supporting a busy org in a customer-facing role, we want to hear from you! This is a 100% remote, full-time role."
https://indeed.com/viewjob?k=a8958feb8c59aff7,Python Developer Intern,DevCool Inc. 5.0 Remote,,"Python interns responsibilities include writing and testing code, debugging programs and integrating applications with third-party web services."
https://indeed.com/viewjob?k=6abcd978966599b9,Design Engineer,"Apex Life Sciences 3.0 Orlando, FL 32817 • Temporarily remote",$25 - $27 an hour,"Develops designs for electronic, electro-mechanical, or mechanical equipment. Develops basic data and makes preliminary layouts, sketches, and notes necessary…"
https://indeed.com/viewjob?k=8f787e4d246cf6de,Data Analyst - All Levels,"FedEx Services 3.9 Lakeland, FL +4 locations • Remote",,Associate Data Analyst (Sponsorship is not available for this position). Data Analyst (Sponsorship is not available for this position).
https://indeed.com/viewjob?k=ae2d135139623c5e,Python Developer,"Deloitte 4.0 Lake Mary, FL +2 locations",,"Function as an integrator between business needs and technology solutions, helping to create technology solutions to meet clients’ requirements."
https://indeed.com/viewjob?k=f9c4027d54828c68,Python Chatbot Developer - 100% Remote,eTek IT Service | Savvysol Remote,$38 - $45 an hour,Ideally looking for a more junior candidate: could be right out of college with Python and Chatbot experience at internships or would look at more mid-level…
https://indeed.com/viewjob?k=c1a4ff23ed83626c,Python Developer,"Verata Health Orlando, FL 32801 (Central Business District area)",,Focus on data handling and manipulation as part of our team to build and maintain our HIPAA-compliant platform.
https://indeed.com/viewjob?k=c95324f57292851a,"Launch Internship, Summer 2021 - Location Flexible",Dropbox 3.9 California • Remote,,The Dropbox Launch Program is a technical internship geared towards students who are looking for their first substantial internship and a kick-start to their…
https://indeed.com/viewjob?k=4b648f1d0618cf3b,Senior Professional Services Engineer,"Jamf 4.3 Orlando, FL +5 locations",,"The primary responsibility of this position is to gain user adoption and create customer loyalty by assisting with initial implementation, workflow enhancements…"
https://indeed.com/viewjob?k=b38c72a0024ad418,Mid-Level Python Developer,HEXACT Remote,,"Code, test and operate python based services. Writing reusable, testable, and efficient code. Develop new features and improve existing features of the software…"
https://indeed.com/viewjob?k=012194efcb771d14,Junior Full Stack Developers,"Civix Orlando, FL",,"Design, develop, test, deploy, maintain and improve the software. Manage individual project priorities, deadlines and deliverables."
https://indeed.com/viewjob?k=d632b8056eb343e4,Senior Python Django Developer,ESG Consultants Remote,$80 - $110 an hour,"The consultant provides expertise in designing, managing and developing solutions of newly developed applications using the Django Python web framework."
